config_size,build_time,solve_time,total_time,fairness_gap,num_vars,num_constrs,status,solution_found
100,0.038620948791503906,0.005542755126953125,0.04416370391845703,243,151,2552,2,True
215,0.06624627113342285,0.0075681209564208984,0.07381439208984375,227,266,2552,2,True
464,0.10680818557739258,0.010548114776611328,0.1173563003540039,200,515,2552,2,True
1000,0.2058548927307129,0.017742156982421875,0.22359704971313477,170,1051,2552,2,True
