config_size,build_time,solve_time,total_time,fairness_gap,num_vars,num_constrs,status,solution_found
100,0.03837180137634277,0.00404810905456543,0.0424199104309082,251,151,2552,2,True
215,0.05911517143249512,0.0048711299896240234,0.06398630142211914,229,266,2552,2,True
464,0.1043698787689209,0.005317211151123047,0.10968708992004395,200,515,2552,2,True
1000,0.20893287658691406,0.014972925186157227,0.2239058017730713,179,1051,2552,2,True
