config_size,freq_bound,orig_vars,bin_vars,orig_constrs,bin_constrs,orig_time,bin_time,orig_obj,bin_obj
100,3,151,551,2552,2752,0.21315598487854004,0.22962403297424316,267.0,240.0
100,5,151,751,2552,2752,0.1720409393310547,0.1912839412689209,267.0,230.0
500,3,551,2551,2552,3552,0.6398327350616455,0.6677401065826416,200.0,176.0
500,5,551,3551,2552,3552,0.5957880020141602,0.6658329963684082,200.0,160.0
1000,3,1051,5051,2552,4552,0.9453952312469482,0.9224987030029297,178.0,150.0
1000,5,1051,7051,2552,4552,0.8229172229766846,1.0560569763183594,178.0,150.0
