config_size,build_time,solve_time,total_time,fairness_gap,num_vars,num_constrs,status,solution_found
100,0.15087008476257324,0.07896614074707031,0.22983622550964355,267,151,2552,2,True
215,0.2017979621887207,0.036727190017700195,0.2385251522064209,246,266,2552,2,True
464,0.2923712730407715,0.03430008888244629,0.3266713619232178,205,515,2552,2,True
1000,0.4897341728210449,0.07046890258789062,0.5602030754089355,178,1051,2552,2,True
