config_size,build_time,solve_time,total_time,fairness_gap,num_vars,num_constrs,status,solution_found
100,0.03920912742614746,0.002846956253051758,0.04205608367919922,225,151,2552,2,True
215,0.05913710594177246,0.003921031951904297,0.06305813789367676,200,266,2552,2,True
464,0.10387682914733887,0.006142139434814453,0.11001896858215332,202,515,2552,2,True
1000,0.2047889232635498,0.01002192497253418,0.21481084823608398,150,1051,2552,2,True
