config_size,build_time,solve_time,total_time,fairness_gap,num_vars,num_constrs,status,solution_found
100,0.0395050048828125,0.004848957061767578,0.04435396194458008,244,151,2552,2,True
215,0.06108689308166504,0.010247945785522461,0.0713348388671875,208,266,2552,2,True
464,0.10730195045471191,0.007214784622192383,0.1145167350769043,200,515,2552,2,True
1000,0.2112410068511963,0.018706798553466797,0.22994780540466309,150,1051,2552,2,True
